"08-m.A.A.d-city.mp3;Kendrick Lamar, MC Eiht;m.A.A.d city;good kid, m.A.A.d city (Deluxe)"
"04-KK-(feat.-Project-Pat-&-Juicy-J).mp3;Wiz Khalifa, Project Pat, Juicy J;KK (feat. Project Pat & Juicy J);Blacc Hollywood (Deluxe)"
"06-Studio.mp3;ScHoolboy Q, BJ The Chicago Kid;Studio;Oxymoron (Deluxe)"
"04-The-Recipe-(Black-Hippy-Remix)---Bonus-Track.mp3;Kendrick Lamar, Dr. Dre;The Recipe (Black Hippy Remix) - Bonus Track;good kid, m.A.A.d city (Deluxe)"
cs.mp3;Kodak Black;Like Dat;Institution
18-Like-Dat.mp3;Kodak Black;Like Dat;Institution
"09-Conscience-(feat.-Future).mp3;Kodak Black, Future;Conscience (feat. Future);Painting Pictures"
"15-Alright.mp3;Logic, Big Sean;Alright;Under Pressure (Deluxe)"
10-No-Type.mp3;Rae Sremmurd;No Type;SremmLife
"01-Hands-On-The-Wheel.mp3;ScHoolboy Q, A$AP Rocky;Hands On The Wheel;Hands On The Wheel"
08-Erase-Your-Social.mp3;Lil Uzi Vert;Erase Your Social;The Perfect LUV Tape
03-A.D.H.D.mp3;Kendrick Lamar;A.D.H.D;Section.80
"01-Schemin-Up-(feat.-Drake-and-P.-Reign).mp3;OB OBrien, Drake, Preme;Schemin Up (feat. Drake and P. Reign);Schemin Up (feat. Drake and P. Reign)"
07-Mask-Off.mp3;Future;Mask Off;FUTURE
11-Do-Yoga.mp3;Rae Sremmurd;Do Yoga;SremmLife 2 (Deluxe)
"08-Work-REMIX.mp3;A$AP Ferg, A$AP Rocky, French Montana, Trinidad James, ScHoolboy Q;Work REMIX;Trap Lord"
06-Smile-Back.mp3;Mac Miller;Smile Back;Blue Slide Park
03-Drippin'.mp3;Young Thug;Drippin';Slime Season 3
03-By-Chance.mp3;Rae Sremmurd;By Chance;SremmLife 2 (Deluxe)
03-Hollyhood.mp3;Kodak Black;Hollyhood;Institution
